Designator,Mid X,Mid Y,Rotation,Layer
D9,244.04625,-127.36,0.0,top
D_1,153.45375,-132.285,270.0,bottom
D_10,161.90375,-156.585,270.0,bottom
D_11,170.45375,-164.685,270.0,bottom
D_12,170.43625,-122.185,270.0,bottom
D_13,174.679446,-133.369087,0.0,bottom
D_14,170.40375,-140.385,270.0,bottom
D_15,170.47875,-148.485,270.0,bottom
D_16,170.50375,-156.585,270.0,bottom
D_17,179.00375,-164.685,270.0,bottom
D_18,178.92875,-122.185,270.0,bottom
D_19,179.00375,-132.326294,270.0,bottom
D_2,153.46125,-140.385,270.0,bottom
D_20,178.92875,-140.385,270.0,bottom
D_21,178.95375,-148.485,270.0,bottom
D_22,178.97875,-156.61,270.0,bottom
D_23,187.47875,-122.185,270.0,bottom
D_24,187.45375,-132.301294,270.0,bottom
D_25,187.45375,-140.385,270.0,bottom
D_26,187.50375,-148.485,270.0,bottom
D_27,187.55375,-156.585,270.0,bottom
D_28,187.50375,-164.685,270.0,bottom
D_29,196.00375,-122.185,270.0,bottom
D_3,153.48625,-148.485,270.0,bottom
D_30,195.95375,-132.301294,270.0,bottom
D_31,195.95375,-140.385,270.0,bottom
D_32,196.00375,-148.485,270.0,bottom
D_33,195.95375,-156.585,270.0,bottom
D_34,195.95375,-164.685,270.0,bottom
D_35,204.42875,-122.185,270.0,bottom
D_36,204.42875,-132.326294,270.0,bottom
D_37,204.45375,-140.385,270.0,bottom
D_38,204.50375,-148.485,270.0,bottom
D_39,204.50375,-156.585,270.0,bottom
D_4,153.51125,-156.585,270.0,bottom
D_40,204.40375,-164.685,270.0,bottom
D_41,212.92875,-164.685,270.0,bottom
D_42,212.97875,-122.185,270.0,bottom
D_43,213.092401,-132.326294,270.0,bottom
D_44,212.95375,-140.385,270.0,bottom
D_45,212.98875,-148.485,270.0,bottom
D_46,212.97875,-156.585,270.0,bottom
D_47,221.40375,-122.185,270.0,bottom
D_48,224.20375,-132.285,270.0,bottom
D_49,221.42875,-140.385,270.0,bottom
D_5,157.68625,-164.685,270.0,bottom
D_50,221.45375,-148.485,270.0,bottom
D_51,221.47875,-156.585,270.0,bottom
D_52,221.42875,-164.685,270.0,bottom
D_53,229.95375,-122.185,270.0,bottom
D_54,225.72875,-132.285,270.0,bottom
D_55,229.97875,-140.385,270.0,bottom
D_56,229.95375,-148.485,270.0,bottom
D_57,229.97875,-156.585,270.0,bottom
D_58,229.93625,-164.685,270.0,bottom
D_59,238.45375,-132.285,270.0,bottom
D_6,162.16125,-122.185,270.0,bottom
D_60,238.42875,-140.385,270.0,bottom
D_61,238.47875,-148.485,270.0,bottom
D_62,238.42875,-164.685,270.0,bottom
D_63,242.888123,-122.179907,270.0,bottom
D_64,247.00375,-132.285,270.0,bottom
D_65,245.85375,-142.36,180.0,bottom
D_66,246.92875,-148.485,270.0,bottom
D_67,242.75375,-156.585,270.0,bottom
D_68,246.97875,-164.685,270.0,bottom
D_69,243.55375,-118.935,0.0,bottom
D_7,158.886673,-137.61,90.0,bottom
D_8,162.07875,-141.785,90.0,bottom
D_9,162.02875,-148.485,270.0,bottom
F1,161.216643,-119.936931,0.0,bottom
F3,187.793868,-118.685,90.0,bottom
F4,239.36625,-119.285,180.0,bottom
H1,234.805,-29.0695,270.0,bottom
J1,230.39725,-20.58705,0.0,bottom
J10,178.14,-56.555,90.0,bottom
J11,159.995,-48.68,270.0,bottom
J12,247.5875,-49.48,270.0,bottom
J13,251.63875,-26.28,270.0,bottom
J14,180.17,-29.905,90.0,bottom
J15,199.31,-22.3,90.0,bottom
J16,203.3625,-77.0525,270.0,bottom
J19,155.204967,-20.455,180.0,bottom
J2,197.82875,-93.335,270.0,bottom
J20,244.99,-68.14,180.0,bottom
J21,249.0675,-82.51325,270.0,bottom
J3,197.77875,-97.185,270.0,bottom
J4,198.08625,-94.9225,180.0,bottom
J5,225.4075,-84.9,270.0,bottom
J6,251.63875,-123.11,270.0,bottom
J7,172.55375,-118.41,180.0,bottom
J8,247.28375,-136.76,0.0,bottom
J9,225.90375,-123.975,0.0,bottom
K_1,154.90375,-132.985,0.0,top
K_10,163.40375,-157.285,0.0,top
K_11,171.90375,-165.385,0.0,top
K_12,171.90375,-122.885,0.0,top
K_13,171.90375,-132.985,0.0,top
K_14,171.90375,-141.085,0.0,top
K_15,171.90375,-149.185,0.0,top
K_16,171.90375,-157.285,0.0,top
