Designator,Mid X,Mid Y,Rotation,Layer
K_55,231.40375,-141.085,0.0,top
K_56,231.40375,-149.185,0.0,top
K_57,231.40375,-157.285,0.0,top
K_58,231.40375,-165.385,0.0,top
K_59,239.90375,-132.985,0.0,top
K_6,163.40375,-122.885,0.0,top
K_60,239.90375,-141.085,0.0,top
K_61,239.90125,-149.18,0.0,top
K_62,239.90375,-165.385,0.0,top
K_63,244.15375,-122.885,0.0,top
K_64,248.40375,-132.985,0.0,top
K_65,248.40375,-141.085,0.0,top
K_66,248.40375,-149.185,0.0,top
K_67,244.15375,-157.285,0.0,top
K_68,248.40375,-165.385,0.0,top
K_69,247.05375,-102.71,0.0,top
K_7,163.40375,-132.985,0.0,top
K_70,234.07875,-106.535,0.0,top
K_71,226.32875,-96.81,0.0,top
K_72,239.354062,-93.01,0.0,top
K_73,201.92375,-97.935,0.0,top
K_74,201.88375,-104.885,0.0,top
K_75,162.15375,-92.935,0.0,top
K_76,162.15375,-106.335,0.0,top
K_77,155.45375,-99.61,0.0,top
K_78,168.92875,-99.61,0.0,top
K_79,201.92375,-90.985,0.0,top
K_8,163.40375,-141.085,0.0,top
K_80,201.88375,-111.835,0.0,top
K_81,206.47875,-90.285,180.0,bottom
K_82,213.02875,-90.285,0.0,bottom
K_83,150.20375,-140.41,270.0,bottom
K_84,241.75,-21.44,270.0,bottom
K_9,163.40375,-149.185,0.0,top
L1,176.5295,-83.13,180.0,bottom
L2,176.592,-69.705,180.0,bottom
L3,188.7055,-82.38,180.0,bottom
L4,188.6805,-70.73,180.0,bottom
L5,162.32,-67.73,180.0,bottom
LS1,230.62875,-127.385,0.0,bottom
LS2,219.40375,-127.385,0.0,bottom
MODULE2,213.315,-28.5725,0.0,bottom
MODULE3,213.315,-62.5715,0.0,bottom
Q1,150.91625,-130.385,270.0,bottom
Q2,169.5,-94.0625,90.0,bottom
Q3,169.5,-83.7475,270.0,bottom
Q5,161.057149,-21.862765,180.0,bottom
R1,150.079634,-134.354651,270.0,bottom
R10,227.09125,-145.83,180.0,top
R11,176.06125,-145.845,180.0,top
R12,227.04125,-128.38,180.0,top
R13,176.08375,-162.16,180.0,top
R14,210.09375,-162.155,180.0,top
R15,193.02125,-128.37,180.0,top
R16,210.07625,-145.845,180.0,top
R17,193.09625,-145.835,180.0,top
R18,210.03625,-128.37,180.0,top
R19,193.08875,-162.16,180.0,top
R2,244.09875,-162.38,180.0,top
R20,156.14875,-120.865,0.0,top
R21,156.15875,-122.87,0.0,top
R22,156.15875,-124.86,0.0,top
R23,156.17375,-126.87,0.0,top
R24,213.21625,-91.69,90.0,top
R25,209.85375,-92.845,270.0,bottom
R26,213.622129,-94.054523,180.0,bottom
R27,201.39375,-113.435,180.0,bottom
R28,201.29375,-114.835,180.0,bottom
R29,211.474833,-113.267412,90.0,bottom
R3,160.12875,-128.7,45.0,top
R30,211.10375,-92.875,270.0,bottom
R31,207.070224,-110.431796,0.0,bottom
R32,231.92375,-112.245,270.0,bottom
R33,237.71375,-106.485,0.0,bottom
R34,236.70375,-102.725,90.0,bottom
R35,240.30375,-93.245,270.0,bottom
R36,237.95375,-100.545,270.0,bottom
R37,237.86375,-94.785,180.0,bottom
R38,239.05375,-100.545,270.0,bottom
R39,240.35375,-100.545,90.0,bottom
R4,244.09125,-145.845,180.0,top
R40,245.120716,-124.87747,0.0,bottom
R41,245.22325,-121.836213,0.0,bottom
R42,188.48125,-114.86,270.0,bottom
R43,222.69375,-97.085,180.0,bottom
R44,224.11375,-94.885,180.0,bottom
R45,224.09375,-96.035,0.0,bottom
R46,227.24375,-102.985,180.0,bottom
R47,230.01625,-103.485,0.0,bottom
R48,181.0545,-76.105,270.0,bottom
R49,179.3795,-77.755,180.0,bottom
R5,159.08625,-145.845,180.0,top
R50,179.9795,-76.105,270.0,bottom
R51,193.3555,-76.33,270.0,bottom
R52,191.6055,-77.98,180.0,bottom
R53,192.2555,-76.33,270.0,bottom
R54,239.08,-37.28,270.0,bottom
R55,239.078868,-39.301289,270.0,bottom
R56,240.9725,-55.005,90.0,bottom
R57,158.795,-71.705,270.0,bottom
R58,161.500162,-74.033166,0.0,bottom
R59,167.403181,-74.156618,180.0,bottom
R6,244.05125,-128.385,180.0,top
R60,170.311252,-71.85938,90.0,bottom
R61,239.402021,-21.566568,270.0,bottom
R62,244.4975,-56.805,180.0,bottom
R63,239.320322,-19.544237,90.0,bottom
R64,158.705168,-90.181301,0.0,bottom
R65,159.247531,-93.361485,180.0,bottom
R66,158.058748,-94.465535,180.0,bottom
R67,158.158444,-106.583624,180.0,bottom
R68,166.033785,-114.63009,270.0,bottom
R69,161.012462,-108.708237,90.0,bottom
R7,159.10875,-160.295,180.0,top
R70,159.974117,-108.702374,270.0,bottom
R71,158.18,-109.6,90.0,bottom
R72,167.928582,-109.155788,90.0,bottom
R73,162.053343,-108.709173,90.0,bottom
R75,167.131529,-114.632433,270.0,bottom
R8,227.10375,-162.145,180.0,top
R83,239.07,-41.31,270.0,bottom
R84,239.07,-43.33,270.0,bottom
R9,176.03625,-128.38,180.0,top
RV1,247.6085,-100.335,90.0,bottom
S1,252.095,-36.905,270.0,bottom
SJ1,223.421015,-80.0485,270.0,bottom
SJ2,225.938265,-80.0485,270.0,bottom
SJ3,156.101664,-71.649772,270.0,bottom
SJ4,172.810318,-71.856263,270.0,bottom
SJ5,156.07,-68.017356,270.0,bottom
SJ6,153.126276,-22.827209,0.0,bottom
SJ7,157.143337,-22.840674,0.0,bottom
U1,213.686407,-97.602286,270.0,bottom
U10,176.6045,-76.405,180.0,bottom
U11,188.732166,-76.545,180.0,bottom
U12,243.6225,-54.455,180.0,bottom
U13,162.32,-71.2925,180.0,bottom
U14,243.5825,-29.5175,90.0,bottom
U15,237.0875,-20.65,90.0,bottom
U2,163.46625,-131.535,0.0,bottom
U3,158.81625,-124.185,270.0,bottom
U4,162.21825,-113.935,270.0,bottom
U5,212.26625,-106.835,90.0,bottom
U6,238.46625,-124.0475,180.0,bottom
U7,191.40375,-120.3975,90.0,bottom
U8,237.83875,-112.585,0.0,bottom
U9,230.87375,-97.235,0.0,bottom
X1,196.471368,-116.3075,0.0,bottom
X2,213.818444,-114.024242,90.0,bottom
X3,233.901171,-104.271098,0.0,bottom
